player_name,team,date_of_birth,age,marital_status,number_of_kids,nationality,country_of_birth,position,preferred_foot,height_cm,weight_kg,jersey_number,injury_status,agent,matches_played,minutes_played,goals,assists,tackles,interceptions,saves,clean_sheets,yellow_cards,red_cards,passing_accuracy,shot_accuracy,previous_club,years_at_club,contract_end_year,average_salary_zar,market_value_zar,signing_bonus_zar,release_clause_zar
Kagiso Mabaso,AmaZulu FC,2004-08-06,21,Widowed,1,Mozambican,Mozambican,Forward,Left,188,79,2,Injured,SA Elite Agents,26,2262,3,48,18,1,0,0,4,0,73.7,80.9,Highlands Park,4,2029,140296.72,24027627.89,377319.95,46104125.29
Karabo Mokoena,Royal AM,2003-04-22,22,Single,0,Malawian,Malawian,Goalkeeper,Left,177,94,45,Injured,SA Elite Agents,308,22484,3,0,22,100,59,13,20,1,94.8,79.7,None,1,2026,264019.49,3594594.51,503517.0,49712212.77
Nomsa Khumalo,Moroka Swallows,2003-11-24,22,Married,2,Zimbabwean,Zimbabwean,Forward,Left,189,78,36,Injured,ProSport,224,19264,82,73,9,16,0,0,17,1,91.9,77.8,Free State Stars,4,2029,91422.3,849179.49,367346.22,24296706.21
Vusi Mahlangu,SuperSport United,2002-08-19,23,Married,0,Nigerian,Nigerian,Defender,Both,185,91,18,Recovering,ProSport,248,12648,10,12,74,96,0,0,0,0,87.4,44.1,None,2,2027,245058.1,20080159.44,635577.13,26833633.45
Mandla Khumalo,Mamelodi Sundowns,1997-06-26,28,Married,2,Malawian,Malawian,Defender,Left,185,86,11,Injured,None,396,28512,9,11,11,5,0,0,4,2,93.7,79.5,Jomo Cosmos,3,2028,85109.33,13787895.12,1030692.91,11914656.31
Lebogang Sithole,Golden Arrows,2004-07-19,21,Widowed,1,Zimbabwean,Zimbabwean,Defender,Right,172,80,65,Injured,None,110,6050,7,1,31,86,0,0,5,0,72.7,77.8,Highlands Park,3,2028,155970.21,13019171.09,1077245.74,34599274.57
Sipho Radebe,Cape Town City,1997-11-14,28,Married,1,Zimbabwean,Zimbabwean,Midfielder,Left,195,72,96,Recovering,SA Elite Agents,262,16244,1,42,51,120,0,0,9,2,86.2,57.2,None,5,2030,137021.4,729981.9,1309548.29,2893217.16
Sibusiso Khumalo,Polokwane City,2006-08-30,19,Divorced,1,Malawian,Malawian,Goalkeeper,Both,183,83,94,Healthy,SoccerLink Africa,216,16416,7,14,20,34,85,37,11,0,81.8,43.9,Highlands Park,5,2030,252156.6,10638383.77,1527424.22,8330388.79
Lindiwe Mabaso,TS Galaxy,1998-11-16,27,Married,3,Malawian,Malawian,Goalkeeper,Right,177,77,69,Injured,PlayerFirst,392,26656,1,15,24,50,126,76,3,0,91.1,47.6,Baroka FC,1,2026,130988.72,7382045.14,1615653.09,34145914.63
Kabelo Mahlangu,Royal AM,2005-06-19,20,Divorced,2,Ghanaian,Ghanaian,Defender,Left,187,75,89,Recovering,ProSport,196,15288,6,7,18,36,0,0,18,2,89.4,68.7,Free State Stars,2,2027,235156.3,20472204.18,965732.15,45357918.48
Lebogang Mashaba,Mamelodi Sundowns,1992-01-05,33,Widowed,0,Ghanaian,Ghanaian,Defender,Left,193,67,1,Healthy,PlayerFirst,384,31488,10,11,21,67,0,0,20,2,92.4,67.7,Bidvest Wits,4,2029,289078.94,8913701.48,411344.51,11258347.39
Tumelo Ngobeni,AmaZulu FC,1994-08-14,31,Divorced,0,Malawian,Malawian,Goalkeeper,Left,195,71,91,Healthy,None,15,960,4,1,23,36,169,4,6,1,83.6,47.1,Baroka FC,5,2030,157788.45,8657304.17,1683041.43,26891404.61
Sipho Radebe,Bloemfontein Celtic,2007-08-14,18,Widowed,0,Zambian,Zambian,Midfielder,Both,189,93,13,Injured,ProSport,358,23628,3,30,6,25,0,0,12,2,76.3,63.2,Tuks FC,3,2028,183032.05,21491221.06,410508.16,19897023.83
Thabo Phiri,Stellenbosch FC,1990-04-18,35,Widowed,0,Nigerian,Nigerian,Forward,Left,186,62,91,Recovering,ProSport,301,16254,18,32,2,3,0,0,13,3,70.4,56.5,Bidvest Wits,2,2027,253028.98,8106550.84,821271.42,45769663.23
Nomsa Molefe,SuperSport United,2006-09-12,19,Married,1,Zambian,Zambian,Defender,Right,187,90,88,Healthy,PlayerFirst,311,15550,1,4,103,118,0,0,10,0,82.2,84.9,Black Leopards,2,2027,216336.24,2394907.0,335159.55,8325080.46
Thabo Tshabalala,Cape Town City,1992-05-05,33,Single,1,Mozambican,Mozambican,Defender,Right,192,70,85,Healthy,SoccerLink Africa,221,17680,3,10,149,101,0,0,6,2,82.6,51.3,None,5,2030,245109.02,24229791.64,657346.08,29267587.98
Gugu Tshabalala,TS Galaxy,1993-04-05,32,Divorced,1,Ghanaian,Ghanaian,Forward,Both,183,94,47,Recovering,None,9,648,57,78,4,2,0,0,13,1,78.2,81.7,None,1,2026,139866.54,5016950.59,1208050.42,34187580.36
Mandla Mahlangu,Cape Town City,1999-10-10,26,Widowed,1,Malawian,Malawian,Goalkeeper,Right,166,71,50,Recovering,None,22,1782,4,11,29,43,27,12,10,0,84.0,71.9,Bidvest Wits,1,2026,219408.27,13629574.68,349913.89,24722943.76
Mpho Radebe,TS Galaxy,1995-08-06,30,Widowed,0,Malawian,Malawian,Forward,Both,175,64,21,Healthy,SA Elite Agents,295,16815,18,32,30,6,0,0,8,3,86.0,40.8,Bidvest Wits,2,2027,252992.59,4868920.61,1228970.27,14388147.66
Gugu Mashaba,Kaizer Chiefs,1997-02-06,28,Married,3,Ghanaian,Ghanaian,Forward,Both,182,60,99,Recovering,None,154,10934,35,48,2,11,0,0,1,3,80.6,63.0,Bidvest Wits,1,2026,269674.61,14123243.48,1743318.71,6428151.49
Thabo Mthembu,AmaZulu FC,1994-11-15,31,Widowed,0,Malawian,Malawian,Forward,Left,183,71,20,Injured,ProSport,108,8316,22,67,13,0,0,0,10,0,87.8,76.2,Bidvest Wits,2,2027,349720.39,15022950.76,1338288.0,9613973.26
Ayanda Mthembu,TS Galaxy,1993-02-03,32,Married,4,Zambian,Zambian,Defender,Right,179,85,46,Healthy,SoccerLink Africa,153,13464,10,9,82,82,0,0,0,2,92.6,71.8,Baroka FC,2,2027,214320.16,2495899.55,437258.15,9221368.69
Thembi Dlamini,Golden Arrows,2003-08-04,22,Divorced,2,Zimbabwean,Zimbabwean,Forward,Right,166,86,33,Recovering,None,63,3591,77,64,24,12,0,0,6,3,92.5,75.3,Jomo Cosmos,1,2026,344978.16,8735814.17,1376504.81,22057342.52
Ayanda Khumalo,Royal AM,1994-11-05,31,Divorced,0,Zimbabwean,Zimbabwean,Midfielder,Left,171,63,95,Recovering,PlayerFirst,303,25452,59,31,48,28,0,0,15,1,93.8,59.2,Baroka FC,5,2030,270325.23,23811616.63,515461.92,4036389.43
Vusi Radebe,Moroka Swallows,1993-07-06,32,Widowed,0,Zambian,Zambian,Midfielder,Right,193,94,70,Recovering,ProSport,160,8160,102,38,18,74,0,0,0,2,89.0,45.5,Bidvest Wits,1,2026,330497.66,4978395.52,1465053.27,35527771.13
Nokuthula Ndlovu,Moroka Swallows,1991-04-18,34,Divorced,2,South African,South African,Defender,Both,179,66,65,Injured,ProSport,46,2530,9,12,71,73,0,0,13,0,78.8,57.3,None,3,2028,127211.83,10744218.12,1581690.53,4468109.56
Lindiwe Zulu,Kaizer Chiefs,1993-11-18,32,Single,0,Malawian,Malawian,Forward,Both,180,90,56,Injured,SA Elite Agents,11,781,34,9,17,13,0,0,16,0,73.4,55.0,Baroka FC,1,2026,123271.27,17910002.9,358761.19,26600492.72
Sipho Phiri,Royal AM,1995-01-13,30,Single,0,Zimbabwean,Zimbabwean,Midfielder,Both,168,84,48,Injured,ProSport,33,2508,91,44,57,22,0,0,20,3,86.8,60.8,Free State Stars,1,2026,308719.59,19741059.41,702910.1,38186054.35
Zanele Zulu,Polokwane City,2003-01-04,22,Widowed,0,Malawian,Malawian,Midfielder,Left,173,74,3,Recovering,PlayerFirst,281,20794,82,1,138,70,0,0,0,0,85.8,84.0,Black Leopards,1,2026,272547.68,19425322.96,1649752.74,48656107.03
Mandla Ndlovu,Chippa United,1989-09-02,36,Widowed,0,Mozambican,Mozambican,Forward,Both,181,75,52,Injured,None,296,26048,0,3,10,9,0,0,7,1,93.6,69.9,Tuks FC,5,2030,111326.4,2412605.52,1444886.07,1749703.95
Gugu Mokoena,Bloemfontein Celtic,1990-05-13,35,Widowed,0,Zambian,Zambian,Midfielder,Left,178,73,34,Healthy,SoccerLink Africa,149,10132,19,33,43,6,0,0,2,2,75.4,81.7,Jomo Cosmos,4,2029,138354.49,13530605.68,409754.88,26584681.47
Nomsa Tshabalala,Polokwane City,1988-12-30,37,Divorced,2,South African,South African,Forward,Right,169,62,75,Injured,SoccerLink Africa,171,8721,21,38,30,1,0,0,20,0,93.3,49.9,Jomo Cosmos,3,2028,223075.08,11907249.51,948594.59,31840262.09
Kagiso Molefe,AmaZulu FC,1991-01-04,34,Divorced,0,Malawian,Malawian,Defender,Right,189,68,62,Healthy,None,28,2464,5,4,130,62,0,0,5,3,73.8,57.1,Black Leopards,1,2026,31614.69,14583801.24,1916318.64,28965922.61
Vusi Khumalo,AmaZulu FC,1995-09-13,30,Single,0,Malawian,Malawian,Forward,Left,189,67,72,Recovering,None,149,12963,59,78,30,7,0,0,8,1,86.2,50.4,Tuks FC,2,2027,334248.27,13023693.51,975933.83,40160496.6
Gugu Mashaba,Moroka Swallows,2000-12-10,25,Divorced,2,South African,South African,Goalkeeper,Right,171,92,95,Healthy,SoccerLink Africa,211,13926,3,6,0,17,13,59,6,1,90.4,53.9,Bidvest Wits,5,2030,120050.0,24868294.94,873106.58,48620089.4
Nokuthula Hlongwane,Stellenbosch FC,2001-04-19,24,Divorced,0,South African,South African,Goalkeeper,Both,184,61,53,Healthy,None,44,2728,2,9,10,92,177,33,0,0,70.5,55.7,Tuks FC,5,2030,231868.63,3085355.99,533445.02,46706662.69
Sipho Mashaba,Golden Arrows,1988-02-12,37,Married,4,Zambian,Zambian,Midfielder,Right,171,87,83,Injured,SoccerLink Africa,162,14418,47,55,13,36,0,0,3,3,93.0,70.0,Black Leopards,1,2026,136368.28,24342131.59,1704850.98,36882438.64
Sipho Mabaso,Golden Arrows,1991-11-12,34,Widowed,1,Ghanaian,Ghanaian,Goalkeeper,Left,176,84,26,Healthy,PlayerFirst,122,6832,6,5,2,6,146,31,6,2,84.0,79.0,Free State Stars,1,2026,98510.06,21680257.39,401521.06,6191234.65
Kagiso Phiri,Golden Arrows,1991-10-18,34,Single,0,Zambian,Zambian,Forward,Right,169,61,93,Healthy,SA Elite Agents,202,15150,84,8,8,14,0,0,14,2,85.2,73.2,Baroka FC,3,2028,129572.05,2820816.58,1224488.92,19334640.67
Nomsa Dlamini,Kaizer Chiefs,1988-07-05,37,Divorced,1,Nigerian,Nigerian,Forward,Right,189,81,25,Recovering,None,251,21335,22,64,6,0,0,0,4,3,72.9,44.2,Baroka FC,1,2026,186811.78,557228.41,1597334.73,18869221.32
Lindiwe Radebe,Chippa United,1996-02-14,29,Single,1,Zimbabwean,Zimbabwean,Forward,Right,181,74,40,Injured,None,233,13048,113,41,11,13,0,0,10,3,76.1,42.0,Bidvest Wits,4,2029,296879.45,19292244.09,1198579.04,24558509.54
Lindiwe Mabaso,Mamelodi Sundowns,1997-04-25,28,Married,3,Nigerian,Nigerian,Midfielder,Both,184,80,69,Recovering,PlayerFirst,13,767,67,52,67,3,0,0,0,3,88.9,43.7,Highlands Park,3,2028,190082.58,23997073.27,1336837.25,48951730.48
Vusi Mabena,Richards Bay FC,2001-06-19,24,Widowed,1,Malawian,Malawian,Midfielder,Both,168,82,20,Injured,ProSport,323,20349,113,18,28,108,0,0,10,3,76.7,74.9,None,5,2030,93523.54,14361811.01,394225.71,8876465.27
Boitumelo Radebe,Chippa United,2006-10-06,19,Married,3,Ghanaian,Ghanaian,Defender,Right,190,72,58,Injured,ProSport,238,16898,0,9,60,92,0,0,4,2,85.3,68.7,Free State Stars,2,2027,265836.11,16417579.41,1490616.28,39116638.7
Nomsa Hlongwane,Mamelodi Sundowns,1995-03-22,30,Widowed,0,Zambian,Zambian,Defender,Both,180,95,20,Healthy,SA Elite Agents,195,17160,3,9,145,79,0,0,0,2,81.2,63.3,Black Leopards,2,2027,23636.93,8978637.96,1196619.67,38314052.55
Kagiso Mokoena,TS Galaxy,2000-01-01,25,Married,0,South African,South African,Defender,Right,178,67,20,Recovering,ProSport,294,17640,0,9,70,50,0,0,3,3,71.0,42.5,Bidvest Wits,2,2027,223632.28,7006565.09,1624915.06,15684666.27
Sibusiso Dlamini,Richards Bay FC,2002-12-26,23,Single,1,Mozambican,Mozambican,Forward,Both,194,94,50,Recovering,ProSport,336,29232,23,54,5,18,0,0,8,0,78.2,77.8,None,4,2029,289601.83,11011512.77,1659717.33,19587232.9
Sibusiso Mthembu,Golden Arrows,1991-08-04,34,Married,0,Zambian,Zambian,Goalkeeper,Both,178,82,28,Recovering,ProSport,370,18870,2,14,16,34,5,65,3,3,94.9,59.2,None,5,2030,283876.04,20950128.25,380060.84,26195567.42
Boitumelo Phiri,Moroka Swallows,2006-07-05,19,Married,1,Zambian,Zambian,Goalkeeper,Both,178,65,75,Healthy,SoccerLink Africa,261,23490,3,10,8,76,80,25,8,0,77.5,68.6,None,4,2029,31865.41,3062066.5,1692275.6,9294731.76
Vusi Radebe,AmaZulu FC,1999-12-29,26,Divorced,3,Ghanaian,Ghanaian,Midfielder,Both,172,79,69,Recovering,ProSport,110,8140,71,36,55,54,0,0,11,0,75.7,70.1,Bidvest Wits,5,2030,109993.38,12015069.41,1492248.27,46692489.55
Nomsa Radebe,Kaizer Chiefs,2005-04-01,20,Single,0,Zimbabwean,Zimbabwean,Midfielder,Both,187,78,83,Injured,ProSport,376,28200,17,26,117,100,0,0,14,0,75.0,57.0,Black Leopards,5,2030,91453.28,818906.76,915981.76,10344681.28
Mandla Mabena,Polokwane City,2003-01-26,22,Married,2,South African,South African,Midfielder,Both,183,82,86,Injured,SA Elite Agents,398,34228,98,37,76,79,0,0,5,2,81.3,81.8,Tuks FC,4,2029,268665.13,23078827.84,1219603.5,36904870.14
Lebogang Mashaba,Stellenbosch FC,1987-11-29,38,Divorced,3,Mozambican,Mozambican,Defender,Both,193,71,30,Injured,None,48,4128,5,1,117,72,0,0,2,0,91.3,81.1,Bidvest Wits,1,2026,263174.83,791604.82,1014298.32,6086218.49
Sipho Mabaso,SuperSport United,1990-06-15,35,Divorced,3,Ghanaian,Ghanaian,Midfielder,Left,195,63,73,Recovering,PlayerFirst,335,21775,4,75,62,80,0,0,12,2,73.0,84.1,Bidvest Wits,1,2026,222650.2,17739370.88,731949.44,22609999.28
Thabo Mashaba,Mamelodi Sundowns,1995-01-05,30,Divorced,0,Zimbabwean,Zimbabwean,Defender,Left,179,81,84,Injured,SA Elite Agents,67,4020,2,6,74,117,0,0,5,2,79.0,59.1,Highlands Park,1,2026,166524.48,8103492.06,964018.28,27652543.37
Sipho Ngobeni,Kaizer Chiefs,1999-04-11,26,Married,1,South African,South African,Midfielder,Right,187,64,61,Healthy,None,238,12614,16,38,127,55,0,0,9,2,81.5,56.6,Bidvest Wits,1,2026,226260.77,16889273.88,581647.11,32839479.08
Khanyi Ngobeni,Chippa United,2005-08-23,20,Divorced,3,Zambian,Zambian,Midfielder,Both,179,84,6,Injured,None,142,7242,29,18,80,21,0,0,17,0,74.1,47.1,None,4,2029,81668.22,16209692.56,1642467.5,43582280.97
Khanyi Phiri,Stellenbosch FC,1996-12-15,29,Widowed,0,Nigerian,Nigerian,Defender,Both,176,79,10,Healthy,ProSport,90,5580,5,2,110,51,0,0,10,2,80.0,81.6,Baroka FC,1,2026,30594.58,1434568.9,203328.31,21705258.25
Tumelo Dlamini,Moroka Swallows,1991-11-23,34,Single,0,Zimbabwean,Zimbabwean,Goalkeeper,Left,181,80,84,Injured,ProSport,53,3021,9,7,20,97,100,26,10,0,88.1,62.6,Jomo Cosmos,4,2029,143173.06,7122506.63,883411.59,41925702.26
Mandla Baloyi,Cape Town City,2006-07-30,19,Widowed,0,Ghanaian,Ghanaian,Defender,Both,183,71,65,Recovering,ProSport,67,5360,4,5,45,63,0,0,9,2,90.4,63.7,Baroka FC,5,2030,193199.63,1169893.95,1982000.19,26272507.07
Gugu Molefe,Sekhukhune United,1995-03-18,30,Single,0,Mozambican,Mozambican,Midfielder,Right,184,61,28,Injured,ProSport,361,22021,1,42,75,42,0,0,8,1,87.9,76.5,Free State Stars,2,2027,265073.91,23217982.78,1452777.16,26489241.15
Nomsa Hlongwane,Cape Town City,2000-06-03,25,Married,4,Ghanaian,Ghanaian,Defender,Left,187,71,49,Recovering,SA Elite Agents,396,26136,6,0,75,19,0,0,10,1,76.5,82.9,Highlands Park,5,2030,188642.68,5731417.13,52347.01,41566825.4
Siyanda Mokoena,AmaZulu FC,2000-02-28,25,Divorced,3,South African,South African,Forward,Left,174,69,7,Injured,SA Elite Agents,156,12636,3,72,6,15,0,0,3,1,72.0,44.6,Black Leopards,3,2028,243393.89,4857929.15,674279.6,12739493.9
Thabo Khumalo,Moroka Swallows,1996-07-28,29,Single,0,South African,South African,Goalkeeper,Right,173,95,29,Injured,SA Elite Agents,326,25428,9,10,0,49,4,53,13,1,88.2,64.8,Tuks FC,1,2026,138191.13,14859273.33,749446.86,27510343.78
Boitumelo Mokoena,Richards Bay FC,1993-10-28,32,Widowed,1,Malawian,Malawian,Defender,Right,171,92,4,Recovering,PlayerFirst,290,14790,8,14,50,9,0,0,1,3,89.8,63.4,Bidvest Wits,4,2029,329528.39,13308361.57,1227342.94,5308287.74
Ayanda Mokoena,Polokwane City,1989-11-01,36,Divorced,0,Ghanaian,Ghanaian,Midfielder,Both,169,92,37,Injured,SA Elite Agents,329,23688,105,35,83,57,0,0,4,0,82.3,78.7,Tuks FC,4,2029,215173.37,7668787.7,1355340.65,35964133.64
Gugu Mahlangu,Bloemfontein Celtic,1993-10-22,32,Widowed,0,Mozambican,Mozambican,Forward,Both,166,93,23,Injured,ProSport,303,19392,106,65,27,13,0,0,3,3,88.2,53.8,Black Leopards,3,2028,31455.82,13218799.43,1478485.94,26215103.46
Lerato Sithole,Mamelodi Sundowns,2005-01-02,20,Widowed,0,Zambian,Zambian,Forward,Both,185,64,9,Injured,SA Elite Agents,275,18425,91,43,26,18,0,0,18,0,79.9,83.5,Tuks FC,1,2026,90588.92,22598801.93,790364.79,48592024.38
Boitumelo Radebe,Sekhukhune United,2002-09-24,23,Single,0,Ghanaian,Ghanaian,Goalkeeper,Right,171,92,85,Injured,None,110,7260,1,5,10,14,77,32,4,2,93.3,69.6,Jomo Cosmos,1,2026,161352.73,24540830.44,1878726.96,31270772.8
Ayanda Zulu,Orlando Pirates,1996-01-27,29,Single,1,Ghanaian,Ghanaian,Goalkeeper,Right,190,92,10,Injured,SA Elite Agents,275,15125,2,13,29,11,92,25,14,3,86.7,78.2,None,5,2030,156921.09,19941010.53,1243247.17,16286444.49
Boitumelo Ndlovu,Kaizer Chiefs,2002-11-07,23,Married,3,Malawian,Malawian,Goalkeeper,Both,180,68,77,Recovering,ProSport,305,22570,9,2,2,78,166,33,16,2,95.0,51.0,Highlands Park,3,2028,226094.04,14697793.01,443667.86,35775733.74
Mpho Tshabalala,Kaizer Chiefs,1998-01-28,27,Single,1,Malawian,Malawian,Goalkeeper,Left,173,73,1,Injured,None,241,21690,8,5,8,43,62,17,0,0,72.6,48.2,None,5,2030,98022.29,22955437.82,531672.05,45730464.27
Karabo Phiri,Chippa United,1991-09-05,34,Widowed,0,Zambian,Zambian,Goalkeeper,Left,194,75,93,Recovering,None,375,33375,8,12,5,48,173,78,11,3,81.7,62.1,Bidvest Wits,2,2027,88735.61,20729311.91,1301398.14,27530555.72
Khanyi Mahlangu,SuperSport United,2002-04-09,23,Married,1,Mozambican,Mozambican,Defender,Right,167,87,81,Healthy,PlayerFirst,239,20554,7,9,82,105,0,0,9,0,90.5,62.5,Baroka FC,4,2029,312978.3,22806446.46,583798.06,41337833.79
Lebogang Mashaba,Royal AM,1997-12-15,28,Widowed,0,Zambian,Zambian,Midfielder,Both,192,64,67,Healthy,SA Elite Agents,225,18000,35,38,37,104,0,0,18,3,91.9,78.9,Baroka FC,1,2026,289705.32,20852101.17,1142154.1,28230826.76
Thembi Ndlovu,Orlando Pirates,2000-07-29,25,Single,0,Zimbabwean,Zimbabwean,Midfielder,Right,192,83,15,Injured,SoccerLink Africa,109,5668,61,68,74,38,0,0,18,1,86.9,68.3,Tuks FC,2,2027,237873.75,2981323.55,1559061.26,49761725.66
Kabelo Mabena,Kaizer Chiefs,1992-08-13,33,Married,1,Nigerian,Nigerian,Defender,Both,195,93,15,Injured,PlayerFirst,346,17992,5,5,18,40,0,0,15,3,71.7,76.2,Tuks FC,2,2027,113775.95,10165897.84,1427991.74,28248786.77
Kagiso Hlongwane,AmaZulu FC,1995-11-02,30,Married,0,Zambian,Zambian,Defender,Right,167,64,5,Recovering,PlayerFirst,94,8272,0,0,30,118,0,0,0,2,90.1,65.9,Bidvest Wits,3,2028,95067.86,3873746.48,1121951.52,36006413.11
Sibusiso Radebe,Chippa United,2002-03-08,23,Widowed,0,Zimbabwean,Zimbabwean,Defender,Both,185,95,14,Healthy,None,107,6099,3,0,15,62,0,0,2,0,81.9,77.0,Highlands Park,2,2027,166172.23,2519800.18,522045.98,16600001.56
Thembi Ndlovu,Golden Arrows,2000-06-27,25,Widowed,0,South African,South African,Defender,Left,194,61,11,Healthy,PlayerFirst,5,310,0,10,93,96,0,0,5,2,81.3,42.2,Bidvest Wits,3,2028,194160.91,4131040.05,1203122.89,39056195.32
Sibusiso Ngobeni,AmaZulu FC,1988-01-15,37,Divorced,1,Zimbabwean,Zimbabwean,Forward,Left,191,64,5,Healthy,PlayerFirst,145,10295,82,33,26,12,0,0,2,1,77.2,56.8,Free State Stars,1,2026,313365.14,2933509.35,1668732.21,38720913.63
Lindiwe Molefe,Chippa United,1991-08-31,34,Widowed,1,Ghanaian,Ghanaian,Midfielder,Both,184,75,55,Healthy,SoccerLink Africa,166,11122,114,0,97,82,0,0,13,1,75.9,84.9,Jomo Cosmos,2,2027,205719.77,12948606.1,1846585.06,34125183.76
Vusi Hlongwane,Cape Town City,1990-03-29,35,Widowed,0,South African,South African,Defender,Left,165,92,86,Recovering,SoccerLink Africa,84,7308,3,5,61,3,0,0,9,3,76.9,79.7,None,5,2030,251784.67,5589372.72,878049.51,49081529.54
Kagiso Mashaba,Polokwane City,2004-05-06,21,Divorced,2,Ghanaian,Ghanaian,Forward,Right,169,88,93,Recovering,PlayerFirst,62,3100,64,37,25,16,0,0,1,0,73.4,42.0,Jomo Cosmos,5,2030,275762.95,10143610.76,431801.5,43123526.6
Boitumelo Mabena,SuperSport United,1987-12-12,38,Single,0,Zambian,Zambian,Defender,Left,188,62,88,Injured,ProSport,107,7276,7,4,5,22,0,0,1,1,79.4,73.3,Highlands Park,5,2030,159733.13,2346679.41,883902.63,5307899.05
Nomsa Dlamini,TS Galaxy,2007-01-25,18,Married,2,Zimbabwean,Zimbabwean,Goalkeeper,Right,171,89,45,Healthy,SoccerLink Africa,176,9856,3,10,10,49,159,60,18,0,91.3,52.3,Tuks FC,4,2029,328230.78,11837265.49,816084.62,29479699.32
Nokuthula Mthembu,Mamelodi Sundowns,1994-11-27,31,Single,0,Malawian,Malawian,Midfielder,Both,181,68,83,Healthy,None,247,15808,114,21,3,35,0,0,16,3,81.2,45.7,Highlands Park,3,2028,339581.5,5235061.4,865594.53,28642519.32
Thembi Dlamini,Orlando Pirates,1991-11-23,34,Widowed,0,South African,South African,Midfielder,Left,172,92,55,Recovering,SoccerLink Africa,341,29667,24,61,123,9,0,0,18,3,81.7,69.0,None,3,2028,144966.03,3710553.11,721907.58,10233987.56
Kagiso Mthembu,Royal AM,2004-10-27,21,Married,4,Mozambican,Mozambican,Forward,Left,169,62,11,Healthy,SoccerLink Africa,216,15120,10,50,11,19,0,0,14,2,81.9,77.3,Free State Stars,5,2030,122890.92,23049641.41,833679.08,47526832.51
Sipho Baloyi,Polokwane City,1989-03-10,36,Single,0,South African,South African,Forward,Both,183,93,69,Healthy,ProSport,116,6380,91,48,17,18,0,0,2,0,86.2,84.6,Bidvest Wits,2,2027,57284.25,2166145.9,485161.98,21187928.48
Siyanda Baloyi,Sekhukhune United,1994-03-19,31,Widowed,1,Nigerian,Nigerian,Midfielder,Right,191,63,99,Healthy,SA Elite Agents,243,21870,25,10,58,4,0,0,11,0,84.3,75.8,Baroka FC,2,2027,34351.82,3963095.48,702885.57,48656276.42
Karabo Molefe,Kaizer Chiefs,1998-07-05,27,Widowed,0,Malawian,Malawian,Forward,Right,182,86,17,Injured,None,351,26676,58,47,18,20,0,0,5,0,81.5,42.2,Highlands Park,1,2026,113528.49,2289408.01,453807.9,20201650.28
Thabo Mabena,Polokwane City,1993-04-22,32,Married,0,Malawian,Malawian,Forward,Right,189,62,20,Injured,SoccerLink Africa,300,20100,40,52,28,16,0,0,11,3,82.8,45.6,Highlands Park,3,2028,38737.87,4792824.61,1603811.21,16336540.76
Zanele Mabaso,Kaizer Chiefs,1996-04-10,29,Married,4,Mozambican,Mozambican,Forward,Left,182,66,57,Injured,SA Elite Agents,359,23694,106,36,13,14,0,0,5,3,73.8,71.8,Tuks FC,4,2029,304131.02,23854068.6,1120810.17,18392449.9
Nomsa Zulu,Orlando Pirates,1999-06-16,26,Widowed,0,Zambian,Zambian,Goalkeeper,Right,169,81,75,Healthy,None,195,13455,2,3,27,40,191,35,9,3,71.6,80.8,Free State Stars,1,2026,136824.71,16202823.36,883095.95,24371416.15
Lebogang Zulu,Chippa United,1990-02-11,35,Single,1,South African,South African,Midfielder,Right,190,93,80,Injured,SA Elite Agents,304,16720,37,18,37,38,0,0,14,1,79.4,54.3,None,5,2030,47646.67,3454519.12,1811978.29,47405393.38
Thabo Baloyi,Richards Bay FC,2000-07-16,25,Single,1,Ghanaian,Ghanaian,Goalkeeper,Left,183,69,94,Healthy,SA Elite Agents,315,16065,1,6,1,116,66,74,19,0,86.8,50.7,None,4,2029,339205.83,11706402.13,505719.22,15960162.06
Lebogang Tshabalala,TS Galaxy,1990-10-28,35,Divorced,3,Ghanaian,Ghanaian,Forward,Left,171,86,98,Injured,None,124,6448,48,3,9,8,0,0,1,3,81.3,80.9,Bidvest Wits,5,2030,44402.85,10232588.26,1256938.46,10715350.87
Siyanda Mabaso,Kaizer Chiefs,1989-10-12,36,Divorced,2,Zambian,Zambian,Midfielder,Left,189,89,76,Injured,ProSport,319,24882,47,69,82,106,0,0,1,0,70.2,71.8,Free State Stars,3,2028,157593.67,16805705.5,730450.57,31883268.45
Karabo Phiri,Sekhukhune United,2003-01-27,22,Widowed,0,South African,South African,Forward,Left,183,80,84,Healthy,SA Elite Agents,303,19998,28,70,3,7,0,0,0,3,81.3,60.1,Tuks FC,4,2029,144409.11,23861984.75,1573427.47,34824804.53
Kabelo Mokoena,Richards Bay FC,2002-03-25,23,Single,0,Mozambican,Mozambican,Defender,Both,187,91,21,Recovering,SA Elite Agents,126,9072,3,7,122,100,0,0,7,2,88.7,60.2,Black Leopards,2,2027,126574.35,19040090.16,489316.58,23119029.35
Sipho Nkosi,Royal AM,2007-04-30,18,Divorced,1,Malawian,Malawian,Midfielder,Left,176,65,76,Healthy,None,172,9460,33,40,116,2,0,0,6,1,71.6,70.1,Highlands Park,5,2030,299916.07,22205108.17,1407125.26,30384965.47
Nomsa Molefe,Polokwane City,2000-09-06,25,Married,1,Zambian,Zambian,Forward,Right,165,75,87,Recovering,None,336,27216,56,34,9,1,0,0,3,3,93.5,50.2,Bidvest Wits,3,2028,144189.49,14536450.96,484866.76,47675563.74
